Thickness in mm	Countrate N1	Countrate N2	Countrate N3	% Error in N1	% Error in N2	% Error in N3
56	9.04439497409	9.91026189733	39.3618471083	0.0191514988026		0.0483232552301		0.0195914614597
40	13.480572	20.943269	57.620333	0.02632964718		0.03389830508		0.02156101768
32	16.963505	29.207126	73.845738	0.01895016108		0.01467512932		0.01451062904
16	29.924040	77.124385	110.873909	0.01755463881		0.01021659174		0.01658256935
8	80.258825	111.341511	136.650698	0.01520295951		0.0146113384		0.02083457349
4	190.564007	132.989508	147.288260	0.01074883554		0.01026825825		0.02086037456
2	303.314134	145.682535	156.05667	0.01094844845		0.01302592158		0.02127982976
1	391.492824	152.985779	155.885721	0.01032385947		0.01320934165		0.0207420467240	13.4805718046	20.9432687395	57.6203325219	0.0231320505019	0.0328443827841	0.0209436230459
40	13.4805718046	20.9432687395	57.6203325219	0.0231320505019	0.0328443827841	0.0209436230459
40	13.4805718046	20.9432687395	57.6203325219	0.0231320505019	0.0328443827841	0.0209436230459
40	13.4805718046	20.9432687395	57.6203325219	0.0231320505019	0.0328443827841	0.0209436230459
